Hour,Timestamp,Busyness Predicted,Taxi Zone ID
16,1691334000.0,0.53669333,48
17,1691337600.0,0.6098731,48
18,1691341200.0,0.64111036,48
19,1691344800.0,0.6586293,48
20,1691348400.0,0.5702065,48
21,1691352000.0,0.5436815,48
22,1691355600.0,0.47053418,48
23,1691359200.0,0.3998527,48
0,1691276400.0,0.19028002,50
1,1691280000.0,0.16443965,50
2,1691283600.0,0.11567933,50
3,1691287200.0,0.06869682,50
4,1691290800.0,0.028586261,50
5,1691294400.0,0.011310687,50
6,1691298000.0,-0.030410787,50
7,1691301600.0,-0.02427193,50
8,1691305200.0,0.049132153,50
9,1691308800.0,0.07799384,50
10,1691312400.0,0.1280576,50
11,1691316000.0,0.14137183,50
12,1691319600.0,0.15929748,50
13,1691323200.0,0.15988015,50
14,1691326800.0,0.17059669,50
15,1691330400.0,0.16807367,50
16,1691334000.0,0.1752616,50
17,1691337600.0,0.18767102,50
18,1691341200.0,0.17980221,50
19,1691344800.0,0.19659403,50
20,1691348400.0,0.15637039,50
21,1691352000.0,0.15726519,50
22,1691355600.0,0.12134455,50
23,1691359200.0,0.093762286,50
0,1691276400.0,0.46239984,68
1,1691280000.0,0.39438516,68
2,1691283600.0,0.34562472,68
3,1691287200.0,0.1936678,68
4,1691290800.0,0.11599341,68
5,1691294400.0,0.061005138,68
6,1691298000.0,0.055163935,68
7,1691301600.0,0.06779672,68
8,1691305200.0,0.12356022,68
9,1691308800.0,0.20424595,68
10,1691312400.0,0.33402866,68
11,1691316000.0,0.3602994,68
12,1691319600.0,0.47980973,68
13,1691323200.0,0.48391157,68
14,1691326800.0,0.4946281,68
15,1691330400.0,0.5063213,68
16,1691334000.0,0.5135092,68
17,1691337600.0,0.5296891,68
18,1691341200.0,0.49927428,68
19,1691344800.0,0.5160662,68
20,1691348400.0,0.44641048,68
21,1691352000.0,0.4552105,68
22,1691355600.0,0.40854514,68
23,1691359200.0,0.30074638,68
0,1691276400.0,1.0484427,74
1,1691280000.0,1.0625626,74
2,1691283600.0,0.87202686,74
3,1691287200.0,0.6040147,74
4,1691290800.0,0.26298195,74
5,1691294400.0,0.095497146,74
6,1691298000.0,0.048719276,74
7,1691301600.0,0.003591832,74
8,1691305200.0,0.087338366,74
9,1691308800.0,0.11620001,74
10,1691312400.0,0.20782462,74
11,1691316000.0,0.29228246,74
12,1691319600.0,0.34730837,74
13,1691323200.0,0.34789103,74
14,1691326800.0,0.35860756,74
15,1691330400.0,0.361431,74
16,1691334000.0,0.36861888,74
17,1691337600.0,0.35616276,74
18,1691341200.0,0.52233505,74
19,1691344800.0,0.5447046,74
20,1691348400.0,0.5567691,74
21,1691352000.0,0.55766386,74
22,1691355600.0,0.5371943,74
23,1691359200.0,0.45508105,74
0,1691276400.0,0.11076739,75
1,1691280000.0,0.090720214,75
2,1691283600.0,0.08216109,75
3,1691287200.0,0.051253676,75
4,1691290800.0,0.029407326,75
5,1691294400.0,0.012131756,75
6,1691298000.0,-0.0295897,75
7,1691301600.0,-0.009830701,75
8,1691305200.0,0.016248524,75
9,1691308800.0,0.039398924,75
10,1691312400.0,0.09324489,75
11,1691316000.0,0.09812724,75
12,1691319600.0,0.10815658,75
13,1691323200.0,0.108739235,75
14,1691326800.0,0.10682476,75
15,1691330400.0,0.10964821,75
16,1691334000.0,0.11683612,75
17,1691337600.0,0.115638874,75
18,1691341200.0,0.10777005,75
19,1691344800.0,0.12456186,75
20,1691348400.0,0.09332992,75
21,1691352000.0,0.09422473,75
22,1691355600.0,0.05830412,75
23,1691359200.0,0.0326037,75
0,1691276400.0,0.1378125,79
1,1691280000.0,0.111972146,79
2,1691283600.0,0.07606798,79
3,1691287200.0,0.04115578,79
4,1691290800.0,0.022931406,79
5,1691294400.0,0.014079217,79
6,1691298000.0,-0.005582149,79
7,1691301600.0,0.012674527,79
8,1691305200.0,0.055586275,79
9,1691308800.0,0.06490354,79
10,1691312400.0,0.11103972,79
11,1691316000.0,0.11490625,79
12,1691319600.0,0.12308954,79
13,1691323200.0,0.1236722,79
14,1691326800.0,0.13438872,79
15,1691330400.0,0.13721217,79
16,1691334000.0,0.13467431,79
17,1691337600.0,0.14369099,79
18,1691341200.0,0.13595401,79
19,1691344800.0,0.14008242,79
20,1691348400.0,0.10246565,79
21,1691352000.0,0.10273314,79
22,1691355600.0,0.06681256,79
23,1691359200.0,0.049037676,79
0,1691276400.0,0.18921483,87
1,1691280000.0,0.16337448,87
2,1691283600.0,0.11461415,87
3,1691287200.0,0.06763165,87
4,1691290800.0,0.01951163,87
5,1691294400.0,0.0022360578,87
6,1691298000.0,-0.055239785,87
7,1691301600.0,-0.07363495,87
8,1691305200.0,0.0011042508,87
9,1691308800.0,0.028914586,87
10,1691312400.0,0.07205043,87
11,1691316000.0,0.092975885,87
12,1691319600.0,0.10951458,87
13,1691323200.0,0.11009724,87
14,1691326800.0,0.1208138,87
15,1691330400.0,0.123637244,87
16,1691334000.0,0.13082516,87
17,1691337600.0,0.1432346,87
18,1691341200.0,0.13890156,87
19,1691344800.0,0.1556934,87
20,1691348400.0,0.122493595,87
21,1691352000.0,0.13141355,87
22,1691355600.0,0.09549297,87
23,1691359200.0,0.07459856,87
0,1691276400.0,0.09520417,88
1,1691280000.0,0.06936382,88
2,1691283600.0,0.042380314,88
3,1691287200.0,0.0058368314,88
4,1691290800.0,-0.01600953,88
5,1691294400.0,-0.033285126,88
6,1691298000.0,-0.06683878,88
7,1691301600.0,-0.1182376,88
8,1691305200.0,-0.04394498,88
9,1691308800.0,-0.028771851,88
10,1691312400.0,0.014193907,88
11,1691316000.0,0.023655713,88
12,1691319600.0,0.040194407,88
13,1691323200.0,0.04077707,88
14,1691326800.0,0.043210827,88
15,1691330400.0,0.034423597,88
16,1691334000.0,0.039134428,88
17,1691337600.0,0.043463487,88
18,1691341200.0,0.04227006,88
19,1691344800.0,0.059061863,88
20,1691348400.0,0.0189298,88
21,1691352000.0,0.0198246,88
22,1691355600.0,-0.016095996,88
23,1691359200.0,-0.05220824,88
0,1691276400.0,0.33945063,90
1,1691280000.0,0.3120829,90
2,1691283600.0,0.26405042,90
3,1691287200.0,0.17464422,90
4,1691290800.0,0.084879756,90
5,1691294400.0,0.023918461,90
6,1691298000.0,-0.02170619,90
7,1691301600.0,-0.019080129,90
8,1691305200.0,0.052825883,90
9,1691308800.0,0.10307887,90
10,1691312400.0,0.18310823,90
11,1691316000.0,0.23179768,90
12,1691319600.0,0.2585672,90
13,1691323200.0,0.26403087,90
14,1691326800.0,0.27474746,90
15,1691330400.0,0.2775709,90
16,1691334000.0,0.28475878,90
17,1691337600.0,0.27720383,90
18,1691341200.0,0.28461444,90
19,1691344800.0,0.30698398,90
20,1691348400.0,0.25078455,90
21,1691352000.0,0.25167933,90
22,1691355600.0,0.23265243,90
23,1691359200.0,0.19120012,90
0,1691276400.0,0.12543407,100
1,1691280000.0,0.108766235,100
2,1691283600.0,0.082861856,100
3,1691287200.0,0.035879347,100
4,1691290800.0,0.002564191,100
5,1691294400.0,-0.0199718,100
6,1691298000.0,-0.07271774,100
7,1691301600.0,-0.097655535,100
8,1691305200.0,-0.058779497,100
9,1691308800.0,-0.025056716,100
10,1691312400.0,0.010617148,100
11,1691316000.0,0.02708356,100
12,1691319600.0,0.044975128,100
13,1691323200.0,0.04139439,100
14,1691326800.0,0.048247907,100
15,1691330400.0,0.05037497,100
16,1691334000.0,0.05756288,100
17,1691337600.0,0.069972314,100
18,1691341200.0,0.0667991,100
19,1691344800.0,0.08359092,100
20,1691348400.0,0.05629662,100
21,1691352000.0,0.057191413,100
22,1691355600.0,0.027032044,100
23,1691359200.0,0.010469982,100
0,1691276400.0,0.15679078,107
1,1691280000.0,0.100115724,107
2,1691283600.0,0.04594417,107
3,1691287200.0,-0.009522196,107
4,1691290800.0,-0.03136854,107
5,1691294400.0,-0.027123667,107
6,1691298000.0,-0.039394636,107
7,1691301600.0,-0.022737714,107
8,1691305200.0,0.044488925,107
9,1691308800.0,0.073350586,107
10,1691312400.0,0.16800609,107
11,1691316000.0,0.1942769,107
12,1691319600.0,0.21081556,107
13,1691323200.0,0.21139823,107
14,1691326800.0,0.22211486,107
15,1691330400.0,0.2249383,107
16,1691334000.0,0.23212615,107
17,1691337600.0,0.24453557,107
18,1691341200.0,0.2366668,107
19,1691344800.0,0.24335288,107
20,1691348400.0,0.1696265,107
21,1691352000.0,0.14507465,107
22,1691355600.0,0.15328598,107
23,1691359200.0,0.11027173,107
0,1691276400.0,0.44772446,113
1,1691280000.0,0.4162234,113
2,1691283600.0,0.3466651,113
3,1691287200.0,0.22648188,113
4,1691290800.0,0.09296955,113
5,1691294400.0,0.058220398,113
6,1691298000.0,0.010447215,113
7,1691301600.0,0.06644621,113
8,1691305200.0,0.15019266,113
9,1691308800.0,0.18865035,113
10,1691312400.0,0.23871411,113
11,1691316000.0,0.2649849,113
12,1691319600.0,0.32355425,113
13,1691323200.0,0.3241369,113
14,1691326800.0,0.3348535,113
15,1691330400.0,0.33767694,113
16,1691334000.0,0.34486482,113
17,1691337600.0,0.38069353,113
18,1691341200.0,0.45041013,113
19,1691344800.0,0.4792311,113
20,1691348400.0,0.41507882,113
21,1691352000.0,0.39354458,113
22,1691355600.0,0.30944872,113
23,1691359200.0,0.2939158,113
0,1691276400.0,0.18770865,114
1,1691280000.0,0.16186827,114
2,1691283600.0,0.11310794,114
3,1691287200.0,0.06612545,114
4,1691290800.0,0.044279095,114
5,1691294400.0,0.027003514,114
6,1691298000.0,-0.014717955,114
7,1691301600.0,-0.002085164,114
8,1691305200.0,0.08166136,114
9,1691308800.0,0.122877456,114
10,1691312400.0,0.17294121,114
11,1691316000.0,0.199212,114
12,1691319600.0,0.21575071,114
13,1691323200.0,0.21633337,114
14,1691326800.0,0.22704993,114
15,1691330400.0,0.22987339,114
16,1691334000.0,0.23706132,114
17,1691337600.0,0.27504194,114
18,1691341200.0,0.2796139,114
19,1691344800.0,0.31444424,114
20,1691348400.0,0.26177993,114
21,1691352000.0,0.26267472,114
22,1691355600.0,0.20871554,114
23,1691359200.0,0.16726322,114
0,1691276400.0,0.4263405,116
1,1691280000.0,0.39590123,116
2,1691283600.0,0.34714082,116
3,1691287200.0,0.17340794,116
4,1691290800.0,0.055701986,116
5,1691294400.0,-0.009940729,116
6,1691298000.0,-0.037044052,116
7,1691301600.0,-0.0589058,116
8,1691305200.0,0.024840692,116
9,1691308800.0,0.053702373,116
10,1691312400.0,0.10376615,116
11,1691316000.0,0.13003695,116
12,1691319600.0,0.1505352,116
13,1691323200.0,0.16581936,116
14,1691326800.0,0.17653592,116
15,1691330400.0,0.17877105,116
16,1691334000.0,0.1890569,116
17,1691337600.0,0.20615935,116
18,1691341200.0,0.23979452,116
19,1691344800.0,0.26721832,116
20,1691348400.0,0.25823194,116
21,1691352000.0,0.2659114,116
22,1691355600.0,0.22999077,116
23,1691359200.0,0.19721818,116
0,1691276400.0,0.07278124,120
1,1691280000.0,0.064693555,120
2,1691283600.0,0.064545006,120
3,1691287200.0,0.017562518,120
4,1691290800.0,-0.004283835,120
5,1691294400.0,-0.021559436,120
6,1691298000.0,-0.061032597,120
7,1691301600.0,-0.07728918,120
8,1691305200.0,-0.06495162,120
9,1691308800.0,-0.057017405,120
10,1691312400.0,-0.023418147,120
11,1691316000.0,-0.012551565,120
12,1691319600.0,-0.006641112,120
13,1691323200.0,-0.0060584503,120
14,1691326800.0,0.0046581305,120
15,1691330400.0,0.007481585,120
16,1691334000.0,0.014669491,120
17,1691337600.0,0.023808954,120
18,1691341200.0,0.020401934,120
19,1691344800.0,0.03719376,120
20,1691348400.0,0.018189823,120
21,1691352000.0,0.027249783,120
22,1691355600.0,0.009360428,120
23,1691359200.0,-0.0022104068,120
0,1691276400.0,0.038077872,125
1,1691280000.0,0.024531163,125
2,1691283600.0,0.037635848,125
3,1691287200.0,0.0019932655,125
4,1691290800.0,-0.006875768,125
5,1691294400.0,-0.024151359,125
6,1691298000.0,-0.054914277,125
7,1691301600.0,-0.03406417,125
8,1691305200.0,-0.08966898,125
9,1691308800.0,-0.06080734,125
10,1691312400.0,-0.021946138,125
11,1691316000.0,-0.01094074,125
12,1691319600.0,-0.006111947,125
13,1691323200.0,-0.011891883,125
14,1691326800.0,-0.0033973332,125
15,1691330400.0,-0.00057388004,125
16,1691334000.0,0.006614028,125
17,1691337600.0,0.011895996,125
18,1691341200.0,0.0040271864,125
19,1691344800.0,0.020818982,125
20,1691348400.0,-0.0128781,125
21,1691352000.0,-0.0061025326,125
22,1691355600.0,-0.042023152,125
23,1691359200.0,-0.028293269,125
0,1691276400.0,0.04871801,127
1,1691280000.0,0.046876356,127
2,1691283600.0,0.022764899,127
3,1691287200.0,-0.00019057293,127
4,1691290800.0,-0.0040730927,127
5,1691294400.0,-0.014682224,127
6,1691298000.0,-0.050959725,127
7,1691301600.0,-0.06983338,127
8,1691305200.0,-0.048370045,127
9,1691308800.0,-0.054501984,127
10,1691312400.0,-0.014302742,127
11,1691316000.0,-0.0076216417,127
12,1691319600.0,0.0002907198,127
13,1691323200.0,0.00087338185,127
14,1691326800.0,0.004698628,127
15,1691330400.0,0.0075220815,127
16,1691334000.0,0.014709981,127
17,1691337600.0,0.022572393,127
18,1691341200.0,0.014703589,127
19,1691344800.0,0.031495407,127
20,1691348400.0,0.010322342,127
21,1691352000.0,0.016892267,127
22,1691355600.0,-0.01902833,127
23,1691359200.0,-0.03855433,127
0,1691276400.0,0.04067255,128
1,1691280000.0,0.020173205,128
2,1691283600.0,0.011963567,128
3,1691287200.0,0.0039155027,128
4,1691290800.0,-0.005877069,128
5,1691294400.0,-0.016415626,128
6,1691298000.0,-0.058137108,128
7,1691301600.0,-0.047100738,128
8,1691305200.0,-0.05164714,128
9,1691308800.0,-0.044604503,128
10,1691312400.0,-0.02265694,128
11,1691316000.0,-0.017981237,128
12,1691319600.0,-0.012043746,128
13,1691323200.0,-0.011461085,128
14,1691326800.0,-0.007106462,128
15,1691330400.0,-0.0062488965,128
16,1691334000.0,0.0009390154,128
17,1691337600.0,0.017694065,128
18,1691341200.0,0.009825252,128
19,1691344800.0,0.026617054,128
20,1691348400.0,-0.00581968,128
21,1691352000.0,-7.552447e-05,128
22,1691355600.0,-0.022632372,128
23,1691359200.0,-0.04146033,128
0,1691276400.0,0.10466584,137
1,1691280000.0,0.07882549,137
2,1691283600.0,0.06885121,137
3,1691287200.0,0.032879155,137
4,1691290800.0,0.01516483,137
5,1691294400.0,-0.0021107497,137
6,1691298000.0,-0.043832224,137
7,1691301600.0,-0.034063425,137
8,1691305200.0,0.042140067,137
9,1691308800.0,0.06545364,137
10,1691312400.0,0.11171389,137
11,1691316000.0,0.13798466,137
12,1691319600.0,0.15452343,137
13,1691323200.0,0.1551061,137
14,1691326800.0,0.16534264,137
15,1691330400.0,0.1681661,137
16,1691334000.0,0.17535403,137
17,1691337600.0,0.18776347,137
18,1691341200.0,0.17989466,137
19,1691344800.0,0.19170508,137
20,1691348400.0,0.14472362,137
21,1691352000.0,0.118263684,137
22,1691355600.0,0.077306695,137
23,1691359200.0,0.031036448,137
0,1691276400.0,0.16447197,140
1,1691280000.0,0.12591211,140
2,1691283600.0,0.07715182,140
3,1691287200.0,0.035746142,140
4,1691290800.0,0.013899792,140
5,1691294400.0,0.0006889702,140
6,1691298000.0,-0.036063775,140
7,1691301600.0,0.032443076,140
8,1691305200.0,0.105217375,140
9,1691308800.0,0.13407901,140
10,1691312400.0,0.1845222,140
11,1691316000.0,0.22717239,140
12,1691319600.0,0.24371107,140
13,1691323200.0,0.24429373,140
14,1691326800.0,0.25501037,140
15,1691330400.0,0.2578338,140
16,1691334000.0,0.26502168,140
17,1691337600.0,0.2543517,140
18,1691341200.0,0.23010342,140
19,1691344800.0,0.24996881,140
20,1691348400.0,0.21442193,140
21,1691352000.0,0.193249,140
22,1691355600.0,0.15732843,140
23,1691359200.0,0.114680395,140
0,1691276400.0,0.2440863,141
1,1691280000.0,0.19941688,141
2,1691283600.0,0.15065649,141
3,1691287200.0,0.07070143,141
4,1691290800.0,0.048855077,141
5,1691294400.0,0.031579494,141
6,1691298000.0,0.003509531,141
7,1691301600.0,0.016142322,141
8,1691305200.0,0.09988883,141
9,1691308800.0,0.10508084,141
10,1691312400.0,0.15514457,141
11,1691316000.0,0.18871962,141
12,1691319600.0,0.20525832,141
13,1691323200.0,0.20584099,141
14,1691326800.0,0.21655755,141
15,1691330400.0,0.219381,141
16,1691334000.0,0.22656894,141
17,1691337600.0,0.23897837,141
18,1691341200.0,0.23568317,141
19,1691344800.0,0.252475,141
20,1691348400.0,0.21225134,141
21,1691352000.0,0.21314614,141
22,1691355600.0,0.17722553,141
23,1691359200.0,0.13577321,141
0,1691276400.0,0.34712473,142
1,1691280000.0,0.2618756,142
2,1691283600.0,0.17389715,142
3,1691287200.0,0.10792196,142
4,1691290800.0,0.07544242,142
5,1691294400.0,0.035627075,142
6,1691298000.0,0.027263626,142
7,1691301600.0,0.0492671,142
8,1691305200.0,0.14011468,142
9,1691308800.0,0.2656199,142
10,1691312400.0,0.31342235,142
11,1691316000.0,0.3508881,142
12,1691319600.0,0.42631376,142
13,1691323200.0,0.42689642,142
14,1691326800.0,0.43761295,142
15,1691330400.0,0.4404364,142
16,1691334000.0,0.44762427,142
17,1691337600.0,0.5573509,142
18,1691341200.0,0.5494821,142
19,1691344800.0,0.56627387,142
20,1691348400.0,0.5395554,142
21,1691352000.0,0.54045004,142
22,1691355600.0,0.4687744,142
23,1691359200.0,0.3643169,142
0,1691276400.0,0.25753197,143
1,1691280000.0,0.18276244,143
2,1691283600.0,0.113041155,143
3,1691287200.0,0.06605866,143
4,1691290800.0,0.044212308,143
5,1691294400.0,0.03323844,143
6,1691298000.0,0.028039569,143
7,1691301600.0,0.054578815,143
8,1691305200.0,0.21897952,143
9,1691308800.0,0.27621275,143
10,1691312400.0,0.3899803,143
11,1691316000.0,0.4535856,143
12,1691319600.0,0.52033883,143
13,1691323200.0,0.5209215,143
14,1691326800.0,0.57430726,143
15,1691330400.0,0.5751881,143
16,1691334000.0,0.59456664,143
17,1691337600.0,0.60786724,143
18,1691341200.0,0.6270666,143
19,1691344800.0,0.6167905,143
20,1691348400.0,0.49389192,143
21,1691352000.0,0.49478668,143
22,1691355600.0,0.39991608,143
23,1691359200.0,0.24941616,143
0,1691276400.0,0.07828232,144
1,1691280000.0,0.059345722,144
2,1691283600.0,0.061154645,144
3,1691287200.0,0.014172174,144
4,1691290800.0,-0.0076741474,144
5,1691294400.0,-0.024949746,144
6,1691298000.0,-0.06555428,144
7,1691301600.0,-0.08311203,144
8,1691305200.0,-0.058400977,144
9,1691308800.0,-0.045111947,144
10,1691312400.0,-0.026913427,144
11,1691316000.0,-0.019471746,144
12,1691319600.0,-0.011051945,144
13,1691323200.0,-0.010469284,144
14,1691326800.0,-0.0064115818,144
15,1691330400.0,-0.0035881256,144
16,1691334000.0,0.0035997843,144
17,1691337600.0,0.015977725,144
18,1691341200.0,0.008108916,144
19,1691344800.0,0.024900742,144
20,1691348400.0,-0.005993208,144
21,1691352000.0,-0.0029107349,144
22,1691355600.0,-0.032173842,144
23,1691359200.0,-0.048075285,144
0,1691276400.0,0.16427228,148
1,1691280000.0,0.13001901,148
2,1691283600.0,0.08125867,148
3,1691287200.0,0.06000595,148
4,1691290800.0,0.038159598,148
5,1691294400.0,0.020884017,148
6,1691298000.0,-0.0040075076,148
7,1691301600.0,0.00862528,148
8,1691305200.0,0.09237179,148
9,1691308800.0,0.12123344,148
10,1691312400.0,0.1712972,148
11,1691316000.0,0.19756798,148
12,1691319600.0,0.2141067,148
13,1691323200.0,0.21468936,148
14,1691326800.0,0.22540592,148
15,1691330400.0,0.22822937,148
16,1691334000.0,0.23148742,148
17,1691337600.0,0.24782677,148
18,1691341200.0,0.23995793,148
19,1691344800.0,0.25674975,148
20,1691348400.0,0.21652609,148
21,1691352000.0,0.20612454,148
22,1691355600.0,0.17020394,148
23,1691359200.0,0.11824236,148
0,1691276400.0,0.23215714,151
1,1691280000.0,0.20631677,151
2,1691283600.0,0.15755644,151
3,1691287200.0,0.11115577,151
4,1691290800.0,0.032595087,151
5,1691294400.0,-0.012573637,151
6,1691298000.0,-0.05484108,151
7,1691301600.0,-0.06921135,151
8,1691305200.0,0.005901459,151
9,1691308800.0,0.0347631,151
10,1691312400.0,0.08482691,151
11,1691316000.0,0.13610059,151
12,1691319600.0,0.17629099,151
13,1691323200.0,0.17657995,151
14,1691326800.0,0.18729651,151
15,1691330400.0,0.19011997,151
16,1691334000.0,0.1973079,151
17,1691337600.0,0.20971733,151
18,1691341200.0,0.20325826,151
19,1691344800.0,0.2200501,151
20,1691348400.0,0.17982642,151
21,1691352000.0,0.16182,151
22,1691355600.0,0.12589942,151
23,1691359200.0,0.084447145,151
0,1691276400.0,0.72556543,152
1,1691280000.0,0.7475696,152
2,1691283600.0,0.6059161,152
3,1691287200.0,0.31433806,152
4,1691290800.0,0.20592782,152
5,1691294400.0,-0.027688263,152
6,1691298000.0,-0.060456827,152
7,1691301600.0,-0.07602803,152
8,1691305200.0,0.023454875,152
9,1691308800.0,0.03829491,152
10,1691312400.0,0.06885791,152
11,1691316000.0,0.11343657,152
12,1691319600.0,0.1410386,152
13,1691323200.0,0.14162126,152
14,1691326800.0,0.15233783,152
15,1691330400.0,0.15516128,152
16,1691334000.0,0.1623492,152
17,1691337600.0,0.17475863,152
18,1691341200.0,0.1983823,152
19,1691344800.0,0.24685162,152
20,1691348400.0,0.21594082,152
21,1691352000.0,0.22776273,152
22,1691355600.0,0.20668603,152
23,1691359200.0,0.22371489,152
0,1691276400.0,0.26554802,158
1,1691280000.0,0.23341227,158
2,1691283600.0,0.18465188,158
3,1691287200.0,0.12637103,158
4,1691290800.0,0.014533011,158
5,1691294400.0,-0.010962848,158
6,1691298000.0,-0.06426556,158
7,1691301600.0,-0.05163278,158
8,1691305200.0,0.020356504,158
9,1691308800.0,0.04921816,158
10,1691312400.0,0.09429638,158
11,1691316000.0,0.11638518,158
12,1691319600.0,0.14600262,158
13,1691323200.0,0.14658529,158
14,1691326800.0,0.15730186,158
15,1691330400.0,0.16012532,158
16,1691334000.0,0.16731322,158
17,1691337600.0,0.17972267,158
18,1691341200.0,0.19331753,158
19,1691344800.0,0.21010935,158
20,1691348400.0,0.16988572,158
21,1691352000.0,0.16340894,158
22,1691355600.0,0.12748834,158
23,1691359200.0,0.086036004,158
0,1691276400.0,0.21176668,161
1,1691280000.0,0.108806595,161
2,1691283600.0,0.051337488,161
3,1691287200.0,0.006129345,161
4,1691290800.0,-0.015717007,161
5,1691294400.0,-0.03470005,161
6,1691298000.0,-0.018508049,161
7,1691301600.0,-0.030570159,161
8,1691305200.0,0.14860284,161
9,1691308800.0,0.19808803,161
10,1691312400.0,0.43535924,161
11,1691316000.0,0.5809593,161
12,1691319600.0,0.6187124,161
13,1691323200.0,0.6192951,161
14,1691326800.0,0.6105076,161
15,1691330400.0,0.61333114,161
