Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
22,1691355600.0,0.011666813,141
23,1691359200.0,-0.01893214,141
0,1691276400.0,0.0840655,142
1,1691280000.0,0.117573075,142
2,1691283600.0,0.08789609,142
3,1691287200.0,0.083740085,142
4,1691290800.0,0.07659856,142
5,1691294400.0,0.026721328,142
6,1691298000.0,0.06683543,142
7,1691301600.0,0.05521257,142
8,1691305200.0,0.046802513,142
9,1691308800.0,0.0220531,142
10,1691312400.0,0.07110265,142
11,1691316000.0,0.103984095,142
12,1691319600.0,0.123595305,142
13,1691323200.0,0.14387624,142
14,1691326800.0,0.14431782,142
15,1691330400.0,0.15440148,142
16,1691334000.0,0.14036421,142
17,1691337600.0,0.15200825,142
18,1691341200.0,0.10613021,142
19,1691344800.0,0.050307866,142
20,1691348400.0,0.059068218,142
21,1691352000.0,0.05086145,142
22,1691355600.0,0.027873443,142
23,1691359200.0,-0.0019681775,142
0,1691276400.0,0.10571184,143
1,1691280000.0,0.13582122,143
2,1691283600.0,0.11626135,143
3,1691287200.0,0.11210534,143
4,1691290800.0,0.10987357,143
5,1691294400.0,0.04671594,143
6,1691298000.0,0.08062364,143
7,1691301600.0,0.11072294,143
8,1691305200.0,0.21659514,143
9,1691308800.0,0.16435838,143
10,1691312400.0,0.21340795,143
11,1691316000.0,0.23098473,143
12,1691319600.0,0.2635203,143
13,1691323200.0,0.2838012,143
14,1691326800.0,0.28424278,143
15,1691330400.0,0.3172266,143
16,1691334000.0,0.3254831,143
17,1691337600.0,0.3876508,143
18,1691341200.0,0.34177268,143
19,1691344800.0,0.28595048,143
20,1691348400.0,0.22425742,143
21,1691352000.0,0.165036,143
22,1691355600.0,0.13114282,143
23,1691359200.0,0.092159234,143
0,1691276400.0,0.110296145,144
1,1691280000.0,0.14040554,144
2,1691283600.0,0.110728525,144
3,1691287200.0,0.106572516,144
4,1691290800.0,0.099431,144
5,1691294400.0,0.036273357,144
6,1691298000.0,0.076387465,144
7,1691301600.0,0.12471108,144
8,1691305200.0,0.20592695,144
9,1691308800.0,0.20794083,144
10,1691312400.0,0.25699052,144
11,1691316000.0,0.28987202,144
